City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,morant bay,17.8815,-76.4093,302.43,64,7,5.26,JM,1675532272
124,tiverton,50.9,-3.4833,282.82,82,75,2.57,GB,1675532273
125,daru,-9.0763,143.2092,297.52,95,100,4.86,PG,1675532273
126,banda aceh,5.5577,95.3222,298.26,84,91,0.85,ID,1675532274
127,gorom-gorom,14.4439,-0.2361,303.75,11,42,4.69,BF,1675532274
128,thompson,55.7435,-97.8558,249.24,84,75,2.06,CA,1675532272
129,raymond,43.9015,-70.4703,259.05,28,11,3.55,US,1675532275
130,fortuna,40.5982,-124.1573,285.33,70,0,7.2,US,1675532181
131,nanortalik,60.1432,-45.2371,271.02,86,100,15.04,GL,1675532200
132,churapcha,62.0025,132.4325,235.35,100,100,0.68,RU,1675532275
133,vestmanna,62.1564,-7.1664,276.66,70,100,11.83,FO,1675532276
134,te anau,-45.4167,167.7167,291.56,97,100,1.89,NZ,1675532276
135,fairbanks,64.8378,-147.7164,260.13,82,100,3.09,US,1675532274
136,faya,18.3851,42.4509,287.21,70,71,1.67,SA,1675532277
137,chanika,-5.4167,38.0167,294.15,90,100,3.1,TZ,1675532277
138,zeya,53.75,127.2667,243.96,100,95,1.3,RU,1675532278
139,konza,-1.7426,37.1294,291.97,49,79,5.61,KE,1675532278
140,nea kallikratia,40.3167,23.0667,282.97,53,94,10.41,GR,1675532279
141,zaragoza,41.6561,-0.8773,287.4,28,0,11.83,ES,1675532279
142,victoria,22.2855,114.1577,291.18,83,100,3.58,HK,1675532189
143,sechura,-5.5569,-80.8222,302.8,50,96,4.96,PE,1675532280
144,kuraymah,18.55,31.85,294.58,12,34,5.0,SD,1675532280
145,songjianghe,42.1859,127.479,258.29,86,6,3.04,CN,1675532280
146,beloha,-25.1667,45.05,296.74,81,88,7.29,MG,1675532204
147,yongchang,30.0381,119.7317,278.47,96,100,0.92,CN,1675532281
148,myitkyina,25.3833,97.4,290.07,50,5,1.3,MM,1675532281
149,weligama,5.9667,80.4167,297.54,90,40,0.72,LK,1675532267
150,ambilobe,-13.2,49.05,297.3,91,68,0.72,MG,1675532232
151,tuktoyaktuk,69.4541,-133.0374,231.15,66,0,1.03,CA,1675532207
152,lompoc,34.6391,-120.4579,289.14,78,0,3.09,US,1675532282
153,egvekinot,66.3167,-179.1667,239.22,88,13,6.43,RU,1675532283
154,krasnoselkup,65.7,82.4667,258.31,98,91,3.48,RU,1675532283
155,tiksi,71.6872,128.8694,247.32,99,100,1.6,RU,1675532206
156,sao filipe,14.8961,-24.4956,296.19,62,85,6.54,CV,1675532276
157,alice springs,-23.7,133.8833,286.9,82,1,0.0,AU,1675532284
158,los llanos de aridane,28.6585,-17.9182,289.01,71,40,4.12,ES,1675532285
159,labuhan,-6.8844,112.2051,298.6,85,100,3.09,ID,1675532285
160,luderitz,-26.6481,15.1594,291.87,79,19,8.67,NA,1675532185
161,deputatskiy,69.3,139.9,238.74,98,100,1.81,RU,1675532143
162,kadoma,34.7333,135.5833,277.69,61,13,2.06,JP,1675532286
163,lorengau,-2.0226,147.2712,300.05,73,100,1.14,PG,1675532286
164,pafos,34.7667,32.4167,286.03,50,75,7.2,CY,1675532287
165,guerrero negro,27.9769,-114.0611,292.04,46,0,2.54,MX,1675532236
166,bad segeberg,53.9333,10.3167,275.25,86,94,2.51,DE,1675532287
167,katunino,64.3862,40.6298,267.09,100,76,1.21,RU,1675532288
168,bambari,5.768,20.6757,304.0,12,62,1.32,CF,1675532288
169,balikpapan,-1.2675,116.8289,299.7,89,20,2.06,ID,1675532289
170,kavaratti,10.5669,72.642,300.5,71,48,3.43,IN,1675532216
171,nikolskoye,59.7035,30.7861,271.09,93,100,4.01,RU,1675532195
172,cherskiy,68.75,161.3,235.64,100,94,2.02,RU,1675532199
173,kenai,60.5544,-151.2583,268.79,93,100,3.09,US,1675532290
174,cap-aux-meules,47.3821,-61.8597,256.18,85,100,18.01,CA,1675532290
175,fare,-16.7,-151.0167,300.49,72,73,7.19,PF,1675532291
176,ormara,25.2088,64.6357,295.19,80,0,4.64,PK,1675531768
177,kovvur,17.0167,81.7333,292.9,81,2,0.97,IN,1675532292
178,tautira,-17.7333,-149.15,299.97,76,70,6.56,PF,1675532292
179,mar del plata,-38.0023,-57.5575,298.05,61,0,6.26,AR,1675532106
180,talnakh,69.4865,88.3972,258.68,96,100,2.73,RU,1675532202
181,eyl,7.9803,49.8164,296.65,68,40,7.42,SO,1675532293
182,buala,-8.145,159.5921,299.47,84,98,1.81,SB,1675532252
183,clyde river,70.4692,-68.5914,242.28,69,75,3.09,CA,1675532051
184,codrington,-38.2667,141.9667,287.69,80,99,3.47,AU,1675532202
185,micheweni,-4.9667,39.8333,300.35,77,94,4.22,TZ,1675532294
186,bathsheba,13.2167,-59.5167,302.49,65,40,10.29,BB,1675531739
187,hervey bay,-25.2986,152.8535,298.56,86,72,3.23,AU,1675532294
188,thinadhoo,0.5333,72.9333,300.37,70,53,6.39,MV,1675532295
189,bredasdorp,-34.5322,20.0403,295.84,79,1,1.42,ZA,1675532186
190,ugoofaaru,5.6667,73.0,300.22,72,100,1.88,MV,1675532295
191,comodoro rivadavia,-45.8667,-67.5,296.07,49,0,4.63,AR,1675532282
192,carutapera,-1.195,-46.02,300.71,80,70,4.63,BR,1675532260
193,georgetown,5.4112,100.3354,299.12,94,20,0.0,MY,1675532183
194,nanchang,28.6833,115.8833,281.11,93,100,1.31,CN,1675532296
195,khandyga,62.6667,135.6,230.48,100,88,0.75,RU,1675532296
196,nicoya,10.1483,-85.452,305.97,34,34,8.27,CR,1675532297
197,smithers,54.7804,-127.1743,274.33,93,100,3.09,CA,1675532090
198,warburton,31.55,73.8333,287.39,53,1,2.53,PK,1675532297
199,rocha,-34.4833,-54.3333,296.34,62,25,8.69,UY,1675532298
200,edd,13.9297,41.6925,297.79,84,37,3.21,ER,1675532299
201,kiunga,-6.1219,141.2906,296.03,99,100,1.01,PG,1675532299
202,airai,-8.9266,125.4092,288.88,94,100,0.99,TL,1675532205
203,butaritari,3.0707,172.7902,300.6,81,80,8.83,KI,1675532179
204,hay river,60.8156,-115.7999,252.14,71,75,2.57,CA,1675532300
205,loa janan,-0.583,117.095,295.74,95,100,0.77,ID,1675532300
206,grand gaube,-20.0064,57.6608,300.03,74,76,1.34,MU,1675532301
207,asyut,27.181,31.1837,289.25,42,70,3.09,EG,1675532302
208,mosetse,-20.75,26.65,295.32,75,90,1.11,BW,1675532302
209,norman wells,65.282,-126.8329,245.17,69,75,0.0,CA,1675532303
210,constitucion,-35.3333,-72.4167,293.77,72,52,4.48,CL,1675531755
211,tarakan,3.3,117.6333,299.24,77,90,1.37,ID,1675532303
212,marzuq,14.4,46.4667,291.75,74,30,2.69,YE,1675532219
213,forio,40.7342,13.8646,286.0,50,7,17.58,IT,1675532304
214,beringovskiy,63.05,179.3167,243.07,94,38,6.22,RU,1675532305
215,kota belud,6.351,116.4305,296.63,84,65,2.42,MY,1675532305
216,klaeng,12.7797,101.6483,302.56,99,25,2.08,TH,1675532306
