City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,toyooka,35.5333,134.8333,278.63,75,36,1.56,JP,1675467142
121,maniitsoq,65.4167,-52.9,260.38,91,100,3.22,GL,1675467142
122,hinton,53.4001,-117.5857,274.27,94,100,1.08,CA,1675467116
123,raigarh,21.9,83.4,285.4,30,72,0.81,IN,1675467144
124,marystown,47.1666,-55.1483,273.72,94,100,12.35,CA,1675466947
125,ilulissat,69.2167,-51.1,259.16,78,75,3.09,GL,1675467144
126,pangnirtung,66.1451,-65.7125,238.15,68,0,1.54,CA,1675467145
127,hermanus,-34.4187,19.2345,293.04,79,0,5.24,ZA,1675467146
128,sakakah,29.9697,40.2064,280.91,55,0,3.5,SA,1675467147
129,caravelas,-17.7125,-39.2481,297.48,88,4,2.83,BR,1675467147
130,ammon,43.4696,-111.9666,272.56,73,0,2.06,US,1675467148
131,saint-philippe,-21.3585,55.7679,298.92,87,69,4.01,RE,1675467148
132,balykshi,47.0667,51.8667,273.15,93,100,4.0,KZ,1675467146
133,atuona,-9.8,-139.0333,299.21,77,28,8.41,PF,1675467149
134,saskylakh,71.9167,114.0833,230.75,100,72,1.77,RU,1675467150
135,thompson,55.7435,-97.8558,252.24,77,100,2.06,CA,1675467023
136,balaipungut,1.05,101.2833,296.67,96,99,0.87,ID,1675467150
137,carnarvon,-24.8667,113.6333,300.47,69,19,3.23,AU,1675467151
138,upernavik,72.7868,-56.1549,246.98,100,100,3.51,GL,1675467151
139,lumding,25.7535,93.1732,285.02,62,0,0.75,IN,1675467152
140,sanchor,24.7553,71.7722,288.38,30,0,1.57,IN,1675467153
141,ganzhou,28.8184,115.4327,280.46,88,100,1.57,CN,1675467154
142,buala,-8.145,159.5921,302.6,70,54,1.2,SB,1675467155
143,avarua,-21.2078,-159.775,302.18,74,75,3.09,CK,1675467156
144,arraial do cabo,-22.9661,-42.0278,298.22,87,56,8.74,BR,1675467095
145,udomlya,57.8794,34.9925,263.72,98,99,1.84,RU,1675467156
146,kandrian,-6.2167,149.55,303.21,66,81,3.89,PG,1675467157
147,nipawin,53.3668,-104.0009,261.17,72,100,6.69,CA,1675467022
148,faya,18.3851,42.4509,285.21,75,74,1.99,SA,1675466742
149,dakoro,14.5106,6.765,295.24,20,64,3.93,NE,1675467157
150,cockburn town,21.4612,-71.1419,298.29,75,3,6.74,TC,1675466884
151,cherskiy,68.75,161.3,242.42,100,96,0.24,RU,1675466911
152,jian,27.1172,114.9793,280.12,92,100,2.64,CN,1675467158
153,half moon bay,37.4636,-122.4286,287.1,92,75,3.09,US,1675467055
154,gazanjyk,39.2446,55.5154,277.41,90,5,4.47,TM,1675467159
155,hithadhoo,-0.6,73.0833,300.52,71,61,9.1,MV,1675466944
156,mahebourg,-20.4081,57.7,298.31,94,75,1.54,MU,1675467159
